recorded_at,battery,pm_1,pm_25,pm_10,pn_03,pn_05,pn_1,pn_25,pn_5,pn_10
2026-05-22T10:35:14Z,71,7,14,17,737,515,117,0,0,0
2026-05-22T10:37:14Z,71,8,14,17,712,513,113,0,0,0
2026-05-22T10:39:14Z,71,10,15,19,769,566,138,0,0,0
2026-05-22T10:41:14Z,71,7,16,18,767,556,118,0,0,0
2026-05-22T10:43:14Z,71,11,16,22,787,611,124,0,0,0
2026-05-22T10:45:14Z,71,9,16,21,897,606,128,0,0,0
2026-05-22T10:47:14Z,71,8,19,21,825,573,136,0,0,0
2026-05-22T10:49:14Z,71,8,13,15,659,500,97,0,0,0
2026-05-22T10:51:14Z,71,10,23,32,890,670,214,2,0,0
2026-05-22T10:53:14Z,71,11,19,26,868,640,163,5,0,0
2026-05-22T10:55:14Z,71,9,14,16,795,584,102,0,0,0
2026-05-22T10:57:14Z,71,10,16,20,829,591,121,0,0,0
2026-05-22T10:59:14Z,71,9,18,19,871,597,113,0,0,0
2026-05-22T11:01:14Z,71,11,20,21,935,654,171,0,0,0
2026-05-22T11:03:14Z,71,9,17,21,859,619,126,0,0,0
2026-05-22T11:05:14Z,71,12,19,22,892,666,169,0,0,0
2026-05-22T11:07:14Z,71,9,17,21,809,582,174,0,0,0
2026-05-22T11:09:14Z,71,12,21,30,991,714,172,5,0,0
2026-05-22T11:11:14Z,71,11,16,16,824,565,132,0,0,0
2026-05-22T11:13:14Z,71,10,16,21,838,594,129,0,0,0
2026-05-22T11:15:14Z,71,14,28,31,1022,818,182,5,0,0
2026-05-22T11:17:14Z,71,9,18,20,862,623,111,2,0,0
2026-05-22T11:19:14Z,71,11,17,20,992,686,109,0,0,0
2026-05-22T11:21:14Z,71,11,18,22,865,652,143,0,0,0
2026-05-22T11:23:14Z,71,12,19,22,954,714,153,0,0,0
2026-05-22T11:25:14Z,71,11,22,25,1081,731,159,0,0,0
2026-05-22T11:27:14Z,71,14,24,29,1133,793,190,1,0,0
2026-05-22T11:29:14Z,71,14,25,27,1172,850,202,0,0,0
2026-05-22T11:31:14Z,71,13,21,22,949,730,158,0,0,0
2026-05-22T11:33:14Z,71,14,25,28,1132,877,163,4,0,0
2026-05-22T11:35:14Z,71,21,33,34,1520,1142,231,0,0,0
2026-05-22T11:37:14Z,71,22,35,38,1615,1228,248,3,0,0
2026-05-22T11:39:14Z,71,16,26,30,1222,917,173,0,0,0
2026-05-22T11:41:14Z,71,15,28,30,1231,874,194,2,0,0
2026-05-22T11:43:14Z,71,14,27,31,1188,865,219,0,0,0
2026-05-22T11:45:14Z,71,14,21,22,1014,759,102,0,0,0
2026-05-22T11:47:14Z,70,13,26,29,964,752,165,3,0,0
2026-05-22T11:49:14Z,71,13,23,25,1089,815,187,0,0,0
2026-05-22T11:51:14Z,70,11,21,24,1002,753,162,0,0,0
2026-05-22T11:53:14Z,70,14,24,25,1014,762,171,0,0,0
2026-05-22T11:55:14Z,70,16,23,27,1139,846,141,0,0,0
2026-05-22T11:57:14Z,70,22,34,38,1572,1188,227,0,0,0
2026-05-22T11:59:14Z,70,16,28,30,1224,921,187,0,0,0
2026-05-22T12:01:14Z,70,14,23,24,1153,849,127,0,0,0
2026-05-22T12:03:14Z,70,15,26,26,1191,866,204,1,0,0
2026-05-22T12:05:14Z,70,14,24,26,1033,804,182,0,0,0
2026-05-22T12:07:14Z,70,15,23,25,1188,849,174,0,0,0
2026-05-22T12:09:14Z,70,14,23,27,1139,835,154,0,0,0
2026-05-22T12:11:14Z,70,13,22,37,1097,795,191,7,0,0
2026-05-22T12:13:14Z,70,13,24,25,1028,762,168,0,0,0
2026-05-22T12:15:14Z,70,15,25,25,1182,879,170,0,0,0
2026-05-22T12:17:14Z,70,15,23,25,1159,831,217,0,0,0
2026-05-22T12:19:14Z,70,14,20,23,1056,804,148,0,0,0
2026-05-22T12:21:14Z,70,14,22,23,1119,789,150,0,0,0
2026-05-22T12:23:14Z,70,14,22,25,1050,756,153,0,0,0
2026-05-22T12:25:14Z,70,14,18,22,924,736,146,0,0,0
2026-05-22T12:27:14Z,70,13,20,27,1055,745,153,0,0,0
2026-05-22T12:29:14Z,70,14,26,28,1096,889,188,8,0,0
2026-05-22T12:31:14Z,70,14,20,21,1031,781,127,0,0,0
2026-05-22T12:33:14Z,70,15,24,25,1068,813,167,2,0,0
2026-05-22T12:35:14Z,70,17,21,33,1122,865,144,0,0,0
2026-05-22T12:37:14Z,70,15,27,28,1111,805,192,5,0,0
2026-05-22T12:39:14Z,70,14,20,25,1060,769,139,0,0,0
2026-05-22T12:41:14Z,70,15,25,27,1089,837,221,2,0,0
2026-05-22T12:43:14Z,70,13,25,27,1018,792,202,2,0,0
2026-05-22T12:45:14Z,70,16,26,29,1088,873,213,0,0,0
2026-05-22T12:47:14Z,70,16,24,27,1166,867,147,0,0,0
2026-05-22T12:49:14Z,70,16,23,27,1207,920,144,0,0,0
2026-05-22T12:51:14Z,70,19,31,39,1343,1039,219,18,0,0
2026-05-22T12:53:14Z,69,20,32,34,1492,1144,228,0,0,0
2026-05-22T12:55:14Z,70,19,37,41,1558,1197,274,3,0,0
2026-05-22T12:57:14Z,69,16,24,27,1301,896,172,0,0,0
